trial,universe,n_assets,method,mean_base,mean_rep,vol_base,vol_rep,sharpe_base,sharpe_rep,es95_base,es95_rep
0,sp500,16,hrp,0.00010480819514260907,0.00014232562939453126,0.00595213352543757,0.005925768647325246,0.2795264103439138,0.38127531766395617,-0.012970793393369763,-0.01267155664934431
0,sp500,16,schur,0.00010332239478308114,0.00014366983935546872,0.006030797060866944,0.006006461222252188,0.27196938517480784,0.37970577193801547,-0.013245727793980136,-0.012866003540039065
1,reit,17,hrp,0.001158105908545449,0.0011476067316685842,0.01018465045385601,0.008913533293259722,1.8051047935920197,2.043823867597845,-0.021664521387689324,-0.018305656243941724
1,reit,17,schur,0.000990863675455055,0.0009138780013538133,0.010169766479625666,0.008921277363621406,1.54668971426647,1.6261531762891717,-0.02205124568447839,-0.0186971195958196
2,sp500,18,hrp,0.001168114823998083,0.0010683050927734377,0.008179364342714683,0.007669466331557035,2.267076900531744,2.2112122103143617,-0.017725703992339522,-0.01592882084437779
2,sp500,18,schur,0.001106182196481022,0.0010049818598632815,0.0077072254877654355,0.007235207705302263,2.2783942169034757,2.204994395431797,-0.016193940169689926,-0.014872652186802454
3,reit,19,hrp,0.0009661070181436752,0.0013304039832002228,0.009945700685494944,0.009265410612404101,1.542020411056717,2.279392611970315,-0.021567280777674554,-0.019881282706053154
3,reit,19,schur,0.0009549299933648891,0.0013628373830302694,0.0101459287735364,0.009423282256088659,1.4941011345417319,2.2958425917405183,-0.022014768220933355,-0.02037808540049266
4,sp500,28,hrp,-0.001029899129386826,-0.0009850631010742187,0.011949750381336815,0.011751410627346305,-1.3681576024023927,-1.3306821149200212,-0.027156721933657167,-0.026845435084751672
4,sp500,28,schur,-0.0007088278958006947,-0.0005598066723632811,0.011335110576142282,0.010984526506865483,-0.992693801460258,-0.8090157931279838,-0.0251372720818721,-0.024221371704101557
5,reit,25,hrp,0.0017336931591009298,0.0017628003661760406,0.00752363370699172,0.007114993302761002,3.658009781427052,3.9330449220343264,-0.013667648671027053,-0.013365146609991121
5,reit,25,schur,0.001738182735647545,0.0017769142168055955,0.007680949920237199,0.007264839744762379,3.5923675843213765,3.882761313890333,-0.01401973049599394,-0.012970462742441912
6,reit,22,hrp,0.00014891063741113297,0.00013107299187553595,0.009751173140157554,0.009343945649924166,0.24242037865544652,0.2226810084898164,-0.02470082193568392,-0.023139741384124564
6,reit,22,schur,0.00012068325046307111,7.71834222876014e-05,0.009832077000794026,0.009395236060864214,0.19485071248552305,0.13041171465217408,-0.02491966150451933,-0.023295844466143276
7,reit,15,hrp,0.0006220292908712695,0.0007070877482525367,0.005466267867788207,0.005427454981323677,1.8064260862969517,2.0681277063533776,-0.011369328006314437,-0.010898872934603312
7,reit,15,schur,0.00048476158444147856,0.0005763997468436212,0.005221631263496041,0.005183694102007833,1.4737447355458164,1.765162475908581,-0.011063847520722814,-0.011015816712742422
8,sp500,25,hrp,0.0006488775057458776,0.0005678750112304686,0.006952423924216595,0.006689538019762296,1.4815855853389355,1.347587278265191,-0.018673927281327097,-0.017997410086495535
8,sp500,25,schur,0.0006686970358096274,0.0006037732006835936,0.00726793012030031,0.007093183296641577,1.460558395510735,1.3512413288831449,-0.019292318983621253,-0.018608942810058593
9,reit,23,hrp,0.001834120526563987,0.0019056633399221305,0.007213627651859632,0.0071326112065303315,4.0362161913551216,4.241289312472716,-0.014824858140701952,-0.014474944663234585
9,reit,23,schur,0.0017943774254219886,0.0018237860486463732,0.007285571965995235,0.007213540866916135,3.9097628419676798,4.0135221398172884,-0.015218176858169143,-0.015092622291450966
10,sp500,15,hrp,0.0006645486028042019,0.0006376495571289063,0.005417626316872979,0.005081264366207447,1.9472332356989126,1.9920972775908707,-0.01045991814119268,-0.009641883039202008
10,sp500,15,schur,0.0006469040980076192,0.0006166008662109375,0.005476403246091497,0.005147815382740373,1.8751877338378005,1.901434797740602,-0.010553612123145581,-0.009855640380859374
11,sp500,16,hrp,-0.00022324465755249622,-0.00025357154150390624,0.008889738474018114,0.008241439236219124,-0.39865054329818445,-0.48842481451606856,-0.018568665568665984,-0.01719542113385882
11,sp500,16,schur,-0.00021315326722820812,-0.00024924184130859384,0.008873941369968004,0.008171303745684293,-0.38130781760761134,-0.48420566578202145,-0.01883866423266931,-0.01755535529436384
12,reit,17,hrp,0.0005275760212724652,0.000564939179335684,0.010594781765340103,0.010549960007153369,0.790484399329989,0.8500630751504294,-0.026202708885414216,-0.025901907933585395
12,reit,17,schur,0.0005426198438369708,0.0005367465420356735,0.010795261321847539,0.01083656386194819,0.7979263051293856,0.7862812707375846,-0.026536512596917437,-0.02666187132897834
13,reit,13,hrp,0.0016182953848342808,0.0016141784304037616,0.007747848416623995,0.0076974416669282906,3.3157131419311265,3.3289356775889845,-0.014716208825533176,-0.014677629918304342
13,reit,13,schur,0.001590479011112995,0.0015677033107630582,0.007669869840086017,0.007704010987256836,3.291851374228062,3.230332690339438,-0.015290456292866097,-0.015356353594938778
14,reit,17,hrp,-0.0005468435287139719,-0.0004919819080236622,0.009704525736580758,0.009284161760350912,-0.8945178913309413,-0.8412144112347723,-0.022596210478542218,-0.021965317031751443
14,reit,17,schur,-0.0005791080038650634,-0.000577100844226353,0.009884054354548243,0.00940649355058216,-0.9300894383096613,-0.9739220935098769,-0.02309893763165381,-0.021956386607843055
15,reit,19,hrp,-1.3035626092756048e-05,-0.0002615693069826275,0.011626092435694409,0.009623745732529786,-0.017799114371172015,-0.4314623574546323,-0.02037042184244515,-0.017635414260206695
15,reit,19,schur,-2.784849170509024e-05,-0.0004063451433276789,0.01141753931065613,0.014653898469688016,-0.038719472612359085,-0.4401920204078598,-0.02350975175830777,-0.03076507162833785
16,reit,12,hrp,0.0009876284803443174,0.0009387378949113832,0.013529682026028491,0.013430051954144684,1.1587941276175286,1.1096012247851275,-0.026869734730163797,-0.02525169893297224
16,reit,12,schur,0.0009551728642455377,0.0008583143471779102,0.013385612612041884,0.013303852550106353,1.132775883083973,1.0241633244800283,-0.02661074706097505,-0.02462803525400794
17,reit,25,hrp,0.0008301571457099547,0.0009531757226233843,0.008574534023465013,0.008239874500702756,1.5369157208831126,1.836338102666982,-0.019743726195773074,-0.018586358948108957
17,reit,25,schur,0.0007797849306837707,0.0008132882577879945,0.008530872283569342,0.008032623551382873,1.451047630858529,1.6072645211505645,-0.01956302718515817,-0.018141475022302487
