trial,universe,n_assets,T_in,iter,es95,l1_step,note
20,sp500,23,656,1,-0.01703382396589007,0.17264589775642694,
20,sp500,23,656,2,-0.017174467738560267,0.1614990234375,
20,sp500,23,656,3,-0.01739849179513114,0.13818359375,
20,sp500,23,656,4,-0.01768214212472098,0.1148681640625,
20,sp500,23,656,-1,,,ValueError: all target probabilities must be positive
21,reit,25,289,0,-0.09736321213714409,nan,
21,reit,25,289,1,-0.1012123890502064,0.46304053275911916,
21,reit,25,289,2,-0.10419782923710175,0.402099609375,
21,reit,25,289,3,-0.10636579429997352,0.2864990234375,
21,reit,25,289,-1,,,ValueError: all target probabilities must be positive
22,reit,22,598,0,-0.034527262111218655,nan,
22,reit,22,598,1,-0.03090057872739544,0.7267419733381882,
22,reit,22,598,2,-0.030194635681066843,0.4970703125,
22,reit,22,598,-1,,,ValueError: all target probabilities must be positive
23,reit,12,700,0,-0.016946024548580085,nan,
23,reit,12,700,1,-0.017509749995112397,0.32653021347198935,
23,reit,12,700,2,-0.018447379307668495,0.439453125,
23,reit,12,700,3,-0.01954657384493147,0.3602294921875,
23,reit,12,700,4,-0.0207889905838908,0.2635498046875,
23,reit,12,700,-1,,,ValueError: all target probabilities must be positive
24,reit,12,515,0,-0.02686491815056837,nan,
24,reit,12,515,1,-0.026765776153139537,0.20479007841519886,
24,reit,12,515,2,-0.02682670618098329,0.2237548828125,
24,reit,12,515,3,-0.027114270813005572,0.2066650390625,
24,reit,12,515,4,-0.027589992305609903,0.153564453125,
24,reit,12,515,5,-0.02808536604034283,0.1087646484375,
24,reit,12,515,6,-0.028828003789259937,0.09375,
24,reit,12,515,-1,,,ValueError: all target probabilities must be positive
25,reit,22,274,0,-0.012744067261208783,nan,
25,reit,22,274,1,-0.012805242345693187,0.4119920677090772,
25,reit,22,274,2,-0.013606351959291075,0.4796142578125,
25,reit,22,274,-1,,,ValueError: all target probabilities must be positive
26,sp500,26,418,0,-0.03150341145754443,nan,
26,sp500,26,418,1,-0.03075178030831473,0.27353096651025954,
26,sp500,26,418,2,-0.03046809945242745,0.2720947265625,
26,sp500,26,418,3,-0.03032732112339565,0.2484130859375,
26,sp500,26,418,4,-0.029988578360421316,0.225830078125,
26,sp500,26,418,-1,,,ValueError: all target probabilities must be positive
27,reit,14,741,0,-0.030724907553617398,nan,
27,reit,14,741,1,-0.02811462447156729,0.4269974350947052,
27,reit,14,741,2,-0.027251216541641705,0.2391357421875,
27,reit,14,741,-1,,,ValueError: all target probabilities must be positive
28,sp500,31,503,0,-0.018042711964296954,nan,
28,sp500,31,503,1,-0.017588180236816405,0.3157374691762175,
28,sp500,31,503,2,-0.01739510417829241,0.32763671875,
28,sp500,31,503,3,-0.017727705732073103,0.310791015625,
28,sp500,31,503,-1,,,ValueError: all target probabilities must be positive
29,reit,12,341,0,-0.03330582663612632,nan,
29,reit,12,341,1,-0.03371200898532481,0.33692285441406045,
29,reit,12,341,2,-0.03414649362448915,0.278076171875,
29,reit,12,341,-1,,,ValueError: all target probabilities must be positive
30,reit,21,505,0,-0.019394142423045112,nan,
30,reit,21,505,1,-0.017780292617686804,0.44041579887796456,
30,reit,21,505,2,-0.01761822544024274,0.5418701171875,
30,reit,21,505,3,-0.017846044283809967,0.4444580078125,
30,reit,21,505,-1,,,ValueError: all target probabilities must be positive
