trial,universe,n_assets,T_in,T_out,start_idx,seriation,F,base_es95,repair_es95,gain,note
7,reit,13,467,125,1964,fiedler,0,-0.03794670541082441,-0.03077563528170359,0.007171070129120823,
7,reit,13,467,125,1964,fiedler,1,-0.03794670541082441,-0.032659970665820236,0.005286734745004178,
7,reit,13,467,125,1964,fiedler,2,-0.03794670541082441,-0.032757684037642676,0.0051890213731817375,
7,reit,13,467,125,1964,classical,0,-0.03471577823152134,-0.030093181914843115,0.004622596316678225,
7,reit,13,467,125,1964,classical,1,-0.03471577823152134,-0.030544354324994073,0.004171423906527267,
7,reit,13,467,125,1964,classical,2,-0.03471577823152134,-0.03213159608615284,0.0025841821453684993,
8,sp500,31,299,125,676,fiedler,0,-0.021151978603710545,-0.0215108493913923,-0.00035887078768175387,
8,sp500,31,299,125,676,fiedler,1,-0.021151978603710545,-0.021503417157854355,-0.00035143855414380976,
8,sp500,31,299,125,676,fiedler,2,-0.021151978603710545,-0.021601571472167964,-0.0004495928684574192,
8,sp500,31,299,125,676,classical,0,-0.020649683060022583,-0.021094176391601566,-0.0004444933315789837,
8,sp500,31,299,125,676,classical,1,-0.020649683060022583,-0.021086433707101004,-0.00043675064707842173,
8,sp500,31,299,125,676,classical,2,-0.020649683060022583,-0.021191203063964846,-0.0005415200039422634,
9,sp500,28,570,125,797,fiedler,0,-0.02052757275542755,-0.01983962556675502,0.0006879471886725302,
9,sp500,28,570,125,797,fiedler,1,-0.02052757275542755,-0.02000383954729353,0.0005237332081340224,
9,sp500,28,570,125,797,fiedler,2,-0.02052757275542755,-0.02013738742501395,0.0003901853304136005,
9,sp500,28,570,125,797,classical,0,-0.020247490593333615,-0.01977750891985212,0.00046998167348149406,
9,sp500,28,570,125,797,classical,1,-0.020247490593333615,-0.01993593302699498,0.0003115575663386362,
9,sp500,28,570,125,797,classical,2,-0.020247490593333615,-0.019999366873604908,0.0002481237197287066,
10,sp500,24,439,125,1320,fiedler,0,-0.01800122002252977,-0.017193959699358257,0.0008072603231715145,
10,sp500,24,439,125,1320,fiedler,1,-0.01800122002252977,-0.017523962332589287,0.000477257689940485,
10,sp500,24,439,125,1320,fiedler,2,-0.01800122002252977,-0.01734636515590123,0.0006548548666285431,
10,sp500,24,439,125,1320,classical,0,-0.017774474227279822,-0.017430444641113284,0.0003440295861665381,
10,sp500,24,439,125,1320,classical,1,-0.017774474227279822,-0.017178967520577567,0.0005955067067022549,
10,sp500,24,439,125,1320,classical,2,-0.017774474227279822,-0.017311865888323105,0.00046260833895671663,
11,reit,22,695,125,2620,fiedler,0,-0.010526391734724822,-0.009797437189482158,0.0007289545452426639,
11,reit,22,695,125,2620,fiedler,1,-0.010526391734724822,-0.010592051761143825,-6.566002641900277e-05,
11,reit,22,695,125,2620,fiedler,2,-0.010526391734724822,-0.01093333029346319,-0.0004069385587383671,
11,reit,22,695,125,2620,classical,0,-0.011211693415237811,-0.010897165394051203,0.0003145280211866077,
11,reit,22,695,125,2620,classical,1,-0.011211693415237811,-0.011440901415214583,-0.0002292079999767719,
11,reit,22,695,125,2620,classical,2,-0.011211693415237811,-0.01162480629799593,-0.00041311288275811854,
12,sp500,34,646,125,1013,fiedler,0,-0.022932569285845448,-0.022242937683105472,0.0006896316027399756,
12,sp500,34,646,125,1013,fiedler,1,-0.022932569285845448,-0.02272858662632533,0.00020398265952011746,
12,sp500,34,646,125,1013,fiedler,2,-0.022932569285845448,-0.02282401599121094,0.00010855329463450858,
12,sp500,34,646,125,1013,classical,0,-0.023376256210928367,-0.023278027291434154,9.822891949421222e-05,
12,sp500,34,646,125,1013,classical,1,-0.023376256210928367,-0.02378835964529855,-0.00041210343437018265,
12,sp500,34,646,125,1013,classical,2,-0.023376256210928367,-0.023400962681361607,-2.4706470433240313e-05,
13,sp500,15,655,125,1064,fiedler,0,-0.01850887432096964,-0.018656009242466517,-0.0001471349214968755,
13,sp500,15,655,125,1064,fiedler,1,-0.01850887432096964,-0.018712189243861612,-0.00020331492289197076,
13,sp500,15,655,125,1064,fiedler,2,-0.01850887432096964,-0.0186485759538923,-0.00013970163292265775,
13,sp500,15,655,125,1064,classical,0,-0.018265257883236758,-0.01872726202392578,-0.00046200414068902143,
13,sp500,15,655,125,1064,classical,1,-0.018265257883236758,-0.01867227838134766,-0.00040702049811090074,
13,sp500,15,655,125,1064,classical,2,-0.018265257883236758,-0.01866758971296038,-0.00040233182972362197,
14,sp500,18,310,125,318,fiedler,0,-0.015000265670896924,-0.014825259198869978,0.00017500647202694543,
14,sp500,18,310,125,318,fiedler,1,-0.015000265670896924,-0.014953710719517298,4.655495137962512e-05,
14,sp500,18,310,125,318,fiedler,2,-0.015000265670896924,-0.014939078962053572,6.11867088433516e-05,
14,sp500,18,310,125,318,classical,0,-0.014381034022058889,-0.014287082903180804,9.395111887808456e-05,
14,sp500,18,310,125,318,classical,1,-0.014381034022058889,-0.014527563084193637,-0.00014652906213474814,
14,sp500,18,310,125,318,classical,2,-0.014381034022058889,-0.014723634225027902,-0.0003426002029690133,
15,reit,12,657,125,3890,fiedler,0,-0.014297901037093544,-0.013230877911839656,0.0010670231252538874,
15,reit,12,657,125,3890,fiedler,1,-0.014297901037093544,-0.013744009205571834,0.0005538918315217099,
15,reit,12,657,125,3890,fiedler,2,-0.014297901037093544,-0.01359086341959437,0.000707037617499174,
15,reit,12,657,125,3890,classical,0,-0.015112975238010294,-0.014387378711885413,0.0007255965261248817,
15,reit,12,657,125,3890,classical,1,-0.015112975238010294,-0.014884010438810437,0.00022896479919985724,
15,reit,12,657,125,3890,classical,2,-0.015112975238010294,-0.014975252066015854,0.00013772317199444058,
16,reit,18,317,125,2999,fiedler,0,-0.01156861240312221,-0.012235246059267759,-0.0006666336561455492,
16,reit,18,317,125,2999,fiedler,1,-0.01156861240312221,-0.01244580226631765,-0.0008771898631954409,
16,reit,18,317,125,2999,fiedler,2,-0.01156861240312221,-0.012109638955483722,-0.0005410265523615124,
16,reit,18,317,125,2999,classical,0,-0.011698075851196298,-0.012762618976610948,-0.0010645431254146503,
16,reit,18,317,125,2999,classical,1,-0.011698075851196298,-0.013165242090644394,-0.0014671662394480957,
16,reit,18,317,125,2999,classical,2,-0.011698075851196298,-0.012937053726724114,-0.0012389778755278157,
17,reit,18,262,125,3352,fiedler,0,-0.01651686125390973,-0.016810059993314475,-0.00029319873940474375,
17,reit,18,262,125,3352,fiedler,1,-0.01651686125390973,-0.01675784324738689,-0.0002409819934771594,
17,reit,18,262,125,3352,fiedler,2,-0.01651686125390973,-0.016671915003218934,-0.0001550537493092037,
17,reit,18,262,125,3352,classical,0,-0.0164296425270154,-0.016438504665768742,-8.86213875334052e-06,
17,reit,18,262,125,3352,classical,1,-0.0164296425270154,-0.01654202802316262,-0.0001123854961472201,
17,reit,18,262,125,3352,classical,2,-0.0164296425270154,-0.01655408234819472,-0.00012443982117931948,
18,sp500,19,325,125,730,fiedler,0,-0.014200878361389554,-0.013830461216517856,0.0003704171448716976,
18,sp500,19,325,125,730,fiedler,1,-0.014200878361389554,-0.013873766409737722,0.0003271119516518317,
18,sp500,19,325,125,730,fiedler,2,-0.014200878361389554,-0.013608795471191407,0.0005920828901981468,
18,sp500,19,325,125,730,classical,0,-0.014181795900185411,-0.013869176513671876,0.0003126193865135348,
18,sp500,19,325,125,730,classical,1,-0.014181795900185411,-0.013935859880719869,0.00024593601946554244,
18,sp500,19,325,125,730,classical,2,-0.014181795900185411,-0.01376570730154855,0.0004160885986368608,
19,reit,23,507,125,3125,fiedler,0,-0.014315528218354402,-0.014804613604927764,-0.0004890853865733621,
19,reit,23,507,125,3125,fiedler,1,-0.014315528218354402,-0.014972921695242126,-0.0006573934768877247,
19,reit,23,507,125,3125,fiedler,2,-0.014315528218354402,-0.01504122547735594,-0.0007256972590015381,
19,reit,23,507,125,3125,classical,0,-0.014461921654699754,-0.014984567042366734,-0.0005226453876669805,
19,reit,23,507,125,3125,classical,1,-0.014461921654699754,-0.01512413201180296,-0.0006622103571032063,
19,reit,23,507,125,3125,classical,2,-0.014461921654699754,-0.014889930879709525,-0.00042800922500977126,
20,sp500,13,694,125,672,fiedler,0,-0.02234415508318444,-0.02162565616280692,0.0007184989203775187,
20,sp500,13,694,125,672,fiedler,1,-0.02234415508318444,-0.021818438773018974,0.0005257163101654652,
20,sp500,13,694,125,672,fiedler,2,-0.02234415508318444,-0.021894172816685264,0.00044998226649917497,
20,sp500,13,694,125,672,classical,0,-0.02273116458500533,-0.021984186131068634,0.0007469784539366961,
20,sp500,13,694,125,672,classical,1,-0.02273116458500533,-0.02224802328927176,0.000483141295733569,
20,sp500,13,694,125,672,classical,2,-0.02273116458500533,-0.022431939060756134,0.0002992255242491963,
21,sp500,20,602,125,14,fiedler,0,-0.019484614489404313,-0.019479080827985492,5.533661418821029e-06,
21,sp500,20,602,125,14,fiedler,1,-0.019484614489404313,-0.01987694420514788,-0.0003923297157435654,
21,sp500,20,602,125,14,fiedler,2,-0.019484614489404313,-0.01985064266531808,-0.0003660281759137671,
21,sp500,20,602,125,14,classical,0,-0.019362436202994125,-0.019555238455636163,-0.0001928022526420381,
21,sp500,20,602,125,14,classical,1,-0.019362436202994125,-0.019699021092006136,-0.0003365848890120107,
21,sp500,20,602,125,14,classical,2,-0.019362436202994125,-0.019543918779645647,-0.00018148257665152184,
22,reit,21,450,125,2050,fiedler,0,-0.03176132031052108,-0.030712425752275316,0.0010488945582457603,
22,reit,21,450,125,2050,fiedler,1,-0.03176132031052108,-0.03546557105994832,-0.0037042507494272417,
22,reit,21,450,125,2050,fiedler,2,-0.03176132031052108,-0.03492673140638246,-0.0031654110958613813,
22,reit,21,450,125,2050,classical,0,-0.03128019514951048,-0.031208554569624968,7.164057988550895e-05,
22,reit,21,450,125,2050,classical,1,-0.03128019514951048,-0.03544294394255554,-0.004162748793045061,
22,reit,21,450,125,2050,classical,2,-0.03128019514951048,-0.033827721493640404,-0.0025475263441299273,
23,reit,21,503,125,4944,fiedler,0,-0.02277183906571572,-0.02109852901905699,0.0016733100466587297,
23,reit,21,503,125,4944,fiedler,1,-0.02277183906571572,-0.021344351758300583,0.0014274873074151366,
23,reit,21,503,125,4944,fiedler,2,-0.02277183906571572,-0.02151916291188987,0.001252676153825849,
23,reit,21,503,125,4944,classical,0,-0.022207019297648605,-0.021034832236701016,0.0011721870609475889,
23,reit,21,503,125,4944,classical,1,-0.022207019297648605,-0.02128318622082122,0.0009238330768273836,
23,reit,21,503,125,4944,classical,2,-0.022207019297648605,-0.021582558470119955,0.0006244608275286501,
24,sp500,39,605,125,1342,fiedler,0,-0.021971789311817917,-0.022713900608607698,-0.0007421112967897804,
24,sp500,39,605,125,1342,fiedler,1,-0.021971789311817917,-0.022960034127371652,-0.0009882448155537349,
24,sp500,39,605,125,1342,fiedler,2,-0.021971789311817917,-0.022754515372140068,-0.000782726060322151,
24,sp500,39,605,125,1342,classical,0,-0.022339949485151393,-0.0227857707170759,-0.0004458212319245064,
24,sp500,39,605,125,1342,classical,1,-0.022339949485151393,-0.02305610401262556,-0.0007161545274741686,
24,sp500,39,605,125,1342,classical,2,-0.022339949485151393,-0.022712770002092632,-0.0003728205169412392,
25,reit,21,352,125,2137,fiedler,0,-0.0356014240144445,-0.02924216720098152,0.006359256813462982,
25,reit,21,352,125,2137,fiedler,1,-0.0356014240144445,-0.03280046098850897,0.002800963025935528,
25,reit,21,352,125,2137,fiedler,2,-0.0356014240144445,-0.03325083042728987,0.0023505935871546285,
25,reit,21,352,125,2137,classical,0,-0.03344125728561124,-0.027898926896218926,0.005542330389392312,
25,reit,21,352,125,2137,classical,1,-0.03344125728561124,-0.031300529278969744,0.0021407280066414944,
25,reit,21,352,125,2137,classical,2,-0.03344125728561124,-0.03132409718471663,0.002117160100894605,
26,sp500,17,327,125,2050,fiedler,0,-0.014010110528009285,-0.014448919163295201,-0.0004388086352859165,
26,sp500,17,327,125,2050,fiedler,1,-0.014010110528009285,-0.01458573228236607,-0.0005756217543567855,
26,sp500,17,327,125,2050,fiedler,2,-0.014010110528009285,-0.01465358629499163,-0.000643475766982345,
26,sp500,17,327,125,2050,classical,0,-0.014272369315033378,-0.014980014133998326,-0.0007076448189649483,
26,sp500,17,327,125,2050,classical,1,-0.014272369315033378,-0.015121645272391182,-0.0008492759573578042,
26,sp500,17,327,125,2050,classical,2,-0.014272369315033378,-0.014802067112513953,-0.0005296977974805755,
27,sp500,14,487,125,234,fiedler,0,-0.008624123359070453,-0.008977902770996095,-0.0003537794119256414,
27,sp500,14,487,125,234,fiedler,1,-0.008624123359070453,-0.009280636640276228,-0.0006565132812057749,
27,sp500,14,487,125,234,fiedler,2,-0.008624123359070453,-0.009287853315080915,-0.0006637299560104618,
27,sp500,14,487,125,234,classical,0,-0.008701652826253561,-0.0090266800101144,-0.0003250271838608383,
27,sp500,14,487,125,234,classical,1,-0.008701652826253561,-0.00930456679861886,-0.0006029139723652994,
27,sp500,14,487,125,234,classical,2,-0.008701652826253561,-0.009116150111607144,-0.00041449728535358256,
28,sp500,14,349,125,1491,fiedler,0,-0.020208317730304466,-0.020938605041503907,-0.0007302873111994408,
28,sp500,14,349,125,1491,fiedler,1,-0.020208317730304466,-0.021061459463936942,-0.0008531417336324759,
28,sp500,14,349,125,1491,fiedler,2,-0.020208317730304466,-0.021195560049874444,-0.0009872423195699774,
28,sp500,14,349,125,1491,classical,0,-0.019751153309522484,-0.01992913813999721,-0.00017798483047472627,
28,sp500,14,349,125,1491,classical,1,-0.019751153309522484,-0.020288653233119423,-0.0005374999235969388,
28,sp500,14,349,125,1491,classical,2,-0.019751153309522484,-0.02015003345598493,-0.0003988801464624471,
29,reit,19,290,125,4176,fiedler,0,-0.013864191529775947,-0.013734371222657558,0.000129820307118389,
29,reit,19,290,125,4176,fiedler,1,-0.013864191529775947,-0.01377158685218067,9.260467759527637e-05,
29,reit,19,290,125,4176,fiedler,2,-0.013864191529775947,-0.013704657403322855,0.00015953412645309216,
29,reit,19,290,125,4176,classical,0,-0.013525125558840901,-0.013929682096619529,-0.00040455653777862755,
29,reit,19,290,125,4176,classical,1,-0.013525125558840901,-0.014002849458033024,-0.0004777238991921229,
29,reit,19,290,125,4176,classical,2,-0.013525125558840901,-0.014022738538899238,-0.0004976129800583363,
30,reit,24,409,125,2819,fiedler,0,-0.014474846702189242,-0.013304512002366506,0.0011703346998227365,
30,reit,24,409,125,2819,fiedler,1,-0.014474846702189242,-0.013997083323158204,0.0004777633790310383,
30,reit,24,409,125,2819,fiedler,2,-0.014474846702189242,-0.014255730920507447,0.00021911578168179457,
30,reit,24,409,125,2819,classical,0,-0.015004148791314344,-0.014238507307929051,0.0007656414833852928,
30,reit,24,409,125,2819,classical,1,-0.015004148791314344,-0.014401563184161506,0.0006025856071528377,
30,reit,24,409,125,2819,classical,2,-0.015004148791314344,-0.014556510586417671,0.00044763820489667275,
31,sp500,34,684,125,1356,fiedler,0,-0.03436758486135735,-0.03367825777762277,0.0006893270837345852,
31,sp500,34,684,125,1356,fiedler,1,-0.03436758486135735,-0.035093533987862725,-0.0007259491265053722,
31,sp500,34,684,125,1356,fiedler,2,-0.03436758486135735,-0.035050748849051336,-0.0006831639876939827,
31,sp500,34,684,125,1356,classical,0,-0.033560719173013,-0.03294893280029297,0.0006117863727200315,
31,sp500,34,684,125,1356,classical,1,-0.033560719173013,-0.03450665745326451,-0.0009459382802515098,
31,sp500,34,684,125,1356,classical,2,-0.033560719173013,-0.03499757228306362,-0.0014368531100506163,
32,reit,12,569,125,465,fiedler,0,-0.0370298274356865,-0.03666750057446187,0.0003623268612246294,
32,reit,12,569,125,465,fiedler,1,-0.0370298274356865,-0.03609887825327192,0.0009309491824145838,
32,reit,12,569,125,465,fiedler,2,-0.0370298274356865,-0.036369129539033644,0.0006606978966528579,
32,reit,12,569,125,465,classical,0,-0.036452219128823245,-0.03585684936690815,0.0005953697619150919,
32,reit,12,569,125,465,classical,1,-0.036452219128823245,-0.035357950580542176,0.0010942685482810688,
32,reit,12,569,125,465,classical,2,-0.036452219128823245,-0.03541364133081821,0.001038577798005036,
33,sp500,29,630,125,739,fiedler,0,-0.017960190425388073,-0.01637566672188895,0.0015845237034991244,
33,sp500,29,630,125,739,fiedler,1,-0.017960190425388073,-0.016768478367396762,0.0011917120579913107,
33,sp500,29,630,125,739,fiedler,2,-0.017960190425388073,-0.017113697152273993,0.0008464932731140802,
33,sp500,29,630,125,739,classical,0,-0.017695111442459825,-0.01654355991036551,0.0011515515320943137,
33,sp500,29,630,125,739,classical,1,-0.017695111442459825,-0.016884735421316965,0.0008103760211428598,
33,sp500,29,630,125,739,classical,2,-0.017695111442459825,-0.01709686364746094,0.0005982477949988858,
34,sp500,22,684,125,1725,fiedler,0,-0.01955421288786086,-0.019186382123674663,0.0003678307641861965,
34,sp500,22,684,125,1725,fiedler,1,-0.01955421288786086,-0.01906847038922991,0.00048574249863094984,
34,sp500,22,684,125,1725,fiedler,2,-0.01955421288786086,-0.019175746459960934,0.00037846642789992474,
34,sp500,22,684,125,1725,classical,0,-0.01902009617740105,-0.018830813616071425,0.0001892825613296241,
34,sp500,22,684,125,1725,classical,1,-0.01902009617740105,-0.018676539882114956,0.0003435562952860925,
34,sp500,22,684,125,1725,classical,2,-0.01902009617740105,-0.01886017843191964,0.00015991774548140825,
35,sp500,34,312,125,192,fiedler,0,-0.022580920252702957,-0.02128076618303571,0.0013001540696672455,
35,sp500,34,312,125,192,fiedler,1,-0.022580920252702957,-0.022736194379534037,-0.00015527412683108074,
35,sp500,34,312,125,192,fiedler,2,-0.022580920252702957,-0.0229144748273577,-0.0003335545746547437,
35,sp500,34,312,125,192,classical,0,-0.02147627141869463,-0.02048744508579799,0.000988826332896639,
35,sp500,34,312,125,192,classical,1,-0.02147627141869463,-0.02209487459891183,-0.0006186031802172011,
35,sp500,34,312,125,192,classical,2,-0.02147627141869463,-0.023204241577148437,-0.001727970158453808,
36,reit,20,424,125,4855,fiedler,0,-0.04516158458044463,-0.043267697567817565,0.001893887012627063,
36,reit,20,424,125,4855,fiedler,1,-0.04516158458044463,-0.04883471497687426,-0.003673130396429636,
36,reit,20,424,125,4855,fiedler,2,-0.04516158458044463,-0.047551834905058446,-0.0023902503246138185,
36,reit,20,424,125,4855,classical,0,-0.04539646672812847,-0.045528371098976846,-0.00013190437084837497,
36,reit,20,424,125,4855,classical,1,-0.04539646672812847,-0.05163569985709755,-0.006239233128969082,
36,reit,20,424,125,4855,classical,2,-0.04539646672812847,-0.05105337729234958,-0.0056569105642211084,
37,sp500,28,421,125,517,fiedler,0,-0.02315079304768957,-0.022434140424455917,0.0007166526232336538,
37,sp500,28,421,125,517,fiedler,1,-0.02315079304768957,-0.022416196681431362,0.0007345963662582083,
37,sp500,28,421,125,517,fiedler,2,-0.02315079304768957,-0.022520001918247767,0.0006307911294418031,
37,sp500,28,421,125,517,classical,0,-0.021306013499498944,-0.020793452261788505,0.0005125612377104398,
37,sp500,28,421,125,517,classical,1,-0.021306013499498944,-0.02080002380371094,0.0005059896957880054,
37,sp500,28,421,125,517,classical,2,-0.021306013499498944,-0.021087044442313057,0.00021896905718588738,
38,reit,21,369,125,3023,fiedler,0,-0.02553423848755933,-0.024226970840663633,0.0013072676468956976,
38,reit,21,369,125,3023,fiedler,1,-0.02553423848755933,-0.02394801244504425,0.0015862260425150813,
38,reit,21,369,125,3023,fiedler,2,-0.02553423848755933,-0.02404638755533275,0.0014878509322265795,
38,reit,21,369,125,3023,classical,0,-0.025293095227393734,-0.023678377116414635,0.0016147181109790985,
38,reit,21,369,125,3023,classical,1,-0.025293095227393734,-0.023643634070402052,0.0016494611569916814,
38,reit,21,369,125,3023,classical,2,-0.025293095227393734,-0.024035802842784885,0.0012572923846088484,
39,reit,14,297,125,2489,fiedler,0,-0.02352877122555977,-0.02255518730487534,0.0009735839206844281,
39,reit,14,297,125,2489,fiedler,1,-0.02352877122555977,-0.024435470831465723,-0.0009066996059059543,
39,reit,14,297,125,2489,fiedler,2,-0.02352877122555977,-0.024521869018320368,-0.0009930977927605986,
39,reit,14,297,125,2489,classical,0,-0.023941017521463666,-0.023729848605851055,0.0002111689156126112,
39,reit,14,297,125,2489,classical,1,-0.023941017521463666,-0.024897878015871015,-0.0009568604944073487,
39,reit,14,297,125,2489,classical,2,-0.023941017521463666,-0.02489445641821796,-0.0009534388967542932,
40,reit,25,589,125,3265,fiedler,0,-0.023277371817051355,-0.022638154327546206,0.0006392174895051492,
40,reit,25,589,125,3265,fiedler,1,-0.023277371817051355,-0.022457669448450204,0.0008197023686011516,
40,reit,25,589,125,3265,fiedler,2,-0.023277371817051355,-0.022508734981066352,0.0007686368359850031,
40,reit,25,589,125,3265,classical,0,-0.023352739617140735,-0.02286299714295623,0.0004897424741845055,
40,reit,25,589,125,3265,classical,1,-0.023352739617140735,-0.02266371513654917,0.0006890244805915664,
40,reit,25,589,125,3265,classical,2,-0.023352739617140735,-0.022555186286157974,0.0007975533309827615,
41,reit,17,542,125,3334,fiedler,0,-0.022887886311997254,-0.022077837240183973,0.0008100490718132812,
41,reit,17,542,125,3334,fiedler,1,-0.022887886311997254,-0.022278507605482074,0.0006093787065151804,
41,reit,17,542,125,3334,fiedler,2,-0.022887886311997254,-0.022190864250474795,0.0006970220615224593,
41,reit,17,542,125,3334,classical,0,-0.02273674630113212,-0.022054917711592924,0.0006818285895391976,
41,reit,17,542,125,3334,classical,1,-0.02273674630113212,-0.022254672015775,0.00048207428535712235,
41,reit,17,542,125,3334,classical,2,-0.02273674630113212,-0.022384621656275396,0.00035212464485672584,
42,reit,15,550,125,1239,fiedler,0,-0.021948257224560227,-0.020349946942532653,0.0015983102820275735,
42,reit,15,550,125,1239,fiedler,1,-0.021948257224560227,-0.02043940670464331,0.0015088505199169176,
42,reit,15,550,125,1239,fiedler,2,-0.021948257224560227,-0.0204156495090675,0.001532607715492726,
42,reit,15,550,125,1239,classical,0,-0.020865304039218602,-0.019335805476540544,0.0015294985626780576,
42,reit,15,550,125,1239,classical,1,-0.020865304039218602,-0.019712785641111306,0.0011525183981072953,
42,reit,15,550,125,1239,classical,2,-0.020865304039218602,-0.01986128337493757,0.0010040206642810308,
43,sp500,40,639,125,1577,fiedler,0,-0.019503135597206234,-0.017220390319824218,0.002282745277382016,
43,sp500,40,639,125,1577,fiedler,1,-0.019503135597206234,-0.017635133719308034,0.0018680018778981997,
43,sp500,40,639,125,1577,fiedler,2,-0.019503135597206234,-0.017869077383858817,0.0016340582133474169,
43,sp500,40,639,125,1577,classical,0,-0.01943614781877451,-0.017745376089913504,0.001690771728861007,
43,sp500,40,639,125,1577,classical,1,-0.01943614781877451,-0.01804291610281808,0.0013932317159564313,
43,sp500,40,639,125,1577,classical,2,-0.01943614781877451,-0.018069053519112723,0.0013670942996617877,
44,reit,24,269,125,396,fiedler,0,-0.023218543880980883,-0.02289398548114108,0.0003245583998398027,
44,reit,24,269,125,396,fiedler,1,-0.023218543880980883,-0.02310349037288453,0.00011505350809635356,
44,reit,24,269,125,396,fiedler,2,-0.023218543880980883,-0.023091858676697857,0.0001266852042830259,
44,reit,24,269,125,396,classical,0,-0.022799809866317855,-0.02339873920370766,-0.0005989293373898051,
44,reit,24,269,125,396,classical,1,-0.022799809866317855,-0.023408580426684096,-0.000608770560366241,
