trial,universe,n_assets,T_in,T_out,start_idx,seriation,F,base_es95,repair_es95,gain,note
0,sp500,20,591,125,1794,fiedler,0,-0.015758721136897146,-0.016081307800292967,-0.0003225866633958206,
0,sp500,20,591,125,1794,fiedler,1,-0.015758721136897146,-0.015880779593331472,-0.00012205845643432564,
0,sp500,20,591,125,1794,fiedler,2,-0.015758721136897146,-0.01583422474016462,-7.550360326747524e-05,
0,sp500,20,591,125,1794,classical,0,-0.016344276397781965,-0.017472371154785154,-0.001128094757003189,
0,sp500,20,591,125,1794,classical,1,-0.016344276397781965,-0.01682243306187221,-0.000478156664090245,
0,sp500,20,591,125,1794,classical,2,-0.016344276397781965,-0.016663891008649557,-0.00031961461086759194,
1,sp500,16,708,125,1661,fiedler,0,-0.013961037463235664,-0.013552271153041294,0.00040876631019436983,
1,sp500,16,708,125,1661,fiedler,1,-0.013961037463235664,-0.013543528791155135,0.00041750867208052884,
1,sp500,16,708,125,1661,fiedler,2,-0.013961037463235664,-0.01359875994001116,0.0003622775232245048,
1,sp500,16,708,125,1661,classical,0,-0.013983827065076873,-0.013683862513950892,0.00029996455112598144,
1,sp500,16,708,125,1661,classical,1,-0.013983827065076873,-0.013633095493861606,0.00035073157121526775,
1,sp500,16,708,125,1661,classical,2,-0.013983827065076873,-0.01358378382219587,0.00040004324288100274,
2,reit,19,447,125,1688,fiedler,0,-0.05496125694928015,-0.05302963495191926,0.0019316219973608897,
2,reit,19,447,125,1688,fiedler,1,-0.05496125694928015,-0.05399265735555419,0.0009685995937259578,
2,reit,19,447,125,1688,fiedler,2,-0.05496125694928015,-0.05445109123883573,0.0005101657104444185,
2,reit,19,447,125,1688,classical,0,-0.05421750664620701,-0.052313525467387115,0.0019039811788198954,
2,reit,19,447,125,1688,classical,1,-0.05421750664620701,-0.05345205855193084,0.0007654480942761721,
2,reit,19,447,125,1688,classical,2,-0.05421750664620701,-0.05472233799055344,-0.0005048313443464306,
3,sp500,39,734,125,766,fiedler,0,-0.08039289956197286,-0.07768032695661273,0.0027125726053601334,
3,sp500,39,734,125,766,fiedler,1,-0.08039289956197286,-0.07864665756661551,0.0017462419953573477,
3,sp500,39,734,125,766,fiedler,2,-0.08039289956197286,-0.07995914644949777,0.00043375311247509374,
3,sp500,39,734,125,766,classical,0,-0.07984675851645041,-0.07778173431396485,0.0020650242024855686,
3,sp500,39,734,125,766,classical,1,-0.07984675851645041,-0.07881790008544921,0.0010288584310012006,
3,sp500,39,734,125,766,classical,2,-0.07984675851645041,-0.08024593970598493,-0.00039918118953451154,
4,sp500,19,555,125,1030,fiedler,0,-0.03602591381902942,-0.03509464935302734,0.0009312644660020783,
4,sp500,19,555,125,1030,fiedler,1,-0.03602591381902942,-0.0370645022844587,-0.0010385884654292785,
4,sp500,19,555,125,1030,fiedler,2,-0.03602591381902942,-0.03627001090785436,-0.00024409708882493913,
4,sp500,19,555,125,1030,classical,0,-0.035242412826885894,-0.034341064496721536,0.0009013483301643574,
4,sp500,19,555,125,1030,classical,1,-0.035242412826885894,-0.036795064732142856,-0.0015526519052569618,
4,sp500,19,555,125,1030,classical,2,-0.035242412826885894,-0.03624111112758092,-0.0009986983006950237,
5,reit,24,554,125,3324,fiedler,0,-0.023043817442009416,-0.022043846527508622,0.0009999709145007939,
5,reit,24,554,125,3324,fiedler,1,-0.023043817442009416,-0.02198830128638168,0.0010555161556277358,
5,reit,24,554,125,3324,fiedler,2,-0.023043817442009416,-0.022140783790978353,0.0009030336510310634,
5,reit,24,554,125,3324,classical,0,-0.02304295539479669,-0.02177839651615802,0.0012645588786386677,
5,reit,24,554,125,3324,classical,1,-0.02304295539479669,-0.021833686734801353,0.0012092686599953356,
5,reit,24,554,125,3324,classical,2,-0.02304295539479669,-0.021887341205909232,0.001155614188887457,
6,sp500,22,385,125,1627,fiedler,0,-0.03046993830393884,-0.029575244846888955,0.000894693457049886,
6,sp500,22,385,125,1627,fiedler,1,-0.03046993830393884,-0.029752757097516742,0.0007171812064220989,
6,sp500,22,385,125,1627,fiedler,2,-0.03046993830393884,-0.029933405831473216,0.0005365324724656249,
6,sp500,22,385,125,1627,classical,0,-0.029068205711554534,-0.02870938433837891,0.00035882137317562457,
6,sp500,22,385,125,1627,classical,1,-0.029068205711554534,-0.02877311540876116,0.00029509030279337503,
6,sp500,22,385,125,1627,classical,2,-0.029068205711554534,-0.028849062055315292,0.00021914365623924154,
